,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
939,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Geschieden,1954,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2 750	 bis unter 	3 000 Euro,2 250	 bis unter	2 500 Euro,eine Person,GBS
940,,,,,nan,,Männlich,Hauptschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
941,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1949,Deutschland,Männlich,Realschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
942,,,,,nan,,Männlich,Realschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
943,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1985,Deutschland,Weiblich,Abitur,Deutschland,3 500	 bis unter 	3 750 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
944,,,,,nan,,Weiblich,Abitur,,,1 750 	 bis unter	2 000 Euro,,GBS
945,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1959,Deutschland,Männlich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
946,,,,,nan,,Männlich,Hochschulabschluss,,,4 000	 bis unter	4 500 Euro,,GBS
947,"Anderer Abschluss, und zwar:",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1963,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 750	 bis unter 	4 000 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
948,,,,,nan,,Weiblich,Realschulabschluss,,,1 750 	 bis unter	2 000 Euro,,GBS
949,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Männlich,Hauptschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
950,,,,,nan,,Männlich,Hauptschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
951,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,,1992,Deutschland,Männlich,Abitur,Deutschland,801	 bis unter 	1 000 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
952,,,,,nan,,Männlich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
953,"Fachhochschulabschluss (z. B. Diplom, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Geschieden,1952,Deutschland,Männlich,Andere,Deutschland,3 250	 bis unter 	3 500 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
954,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,eine Person,GBS
955,,,,,nan,,Weiblich,Hochschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
956,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1967,Andere,Männlich,Abitur,Deutschland,5 500	 bis unter	6 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
957,,,,,nan,,Männlich,Abitur,,,2 000	 bis unter	2 250 Euro,,GBS
958,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Ledig,1977,Deutschland,Männlich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,6 000	 bis unter 	7 500 Euro,"mehrere Personen, und zwar:",GBS
959,,,,,nan,,Männlich,Hochschulabschluss,,,6 000	 bis unter 	7 500 Euro,,GBS
960,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1990,Deutschland,Männlich,Hochschulabschluss,Deutschland,1 500	 bis unter	1 750 Euro,1 500	 bis unter	1 750 Euro,eine Person,GBS
961,,,,,nan,,Männlich,Hochschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
962,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1960,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
963,,,,,nan,,Weiblich,Hochschulabschluss,,,3 250	 bis unter 	3 500 Euro,,GBS
964,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1964,Deutschland,Weiblich,Realschulabschluss,Deutschland,Angabe verweigert,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
965,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1964,Deutschland,Weiblich,Realschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
966,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1973,Deutschland,Weiblich,Abitur,Deutschland,3 250	 bis unter 	3 500 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
967,,,,,nan,,Weiblich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
968,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1982,Deutschland,Männlich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
969,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Männlich,Hochschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,"mehrere Personen, und zwar:",GBS
970,,,,,nan,,Männlich,Hochschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
971,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1968,Deutschland,Männlich,Abitur,Deutschland,3 000	 bis unter 	3 250 Euro,3 250	 bis unter 	3 500 Euro,eine Person,GBS
972,,,,,nan,,Männlich,Abitur,,,3 250	 bis unter 	3 500 Euro,,GBS
973,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1980,Deutschland,Männlich,Abitur,Deutschland,4 000	 bis unter	4 500 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
974,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1980,Deutschland,Männlich,Hochschulabschluss,Deutschland,1 500	 bis unter	1 750 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
975,,,,,nan,,Männlich,Hochschulabschluss,,,1 750 	 bis unter	2 000 Euro,,GBS
976,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1985,Deutschland,Männlich,Realschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,eine Person,GBS
977,,,,,nan,,Männlich,Realschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
978,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,unter 150 Euro,"mehrere Personen, und zwar:",GBS
979,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Männlich,Realschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
980,,,,,nan,,Männlich,Realschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
981,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1984,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
982,,,,,nan,,Weiblich,Hochschulabschluss,,,2 750	 bis unter 	3 000 Euro,,GBS
983,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1942,Deutschland,Männlich,Abitur,Deutschland,4 000	 bis unter	4 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
984,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1977,Deutschland,Weiblich,Hochschulabschluss,Deutschland,500 	 bis unter	800 Euro,150 	 bis unter	400 Euro,"mehrere Personen, und zwar:",GBS
985,,,,,nan,,Weiblich,Hochschulabschluss,,,150 	 bis unter	400 Euro,,GBS
986,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1996,Deutschland,Weiblich,Abitur,Deutschland,3 500	 bis unter 	3 750 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
987,,,,,nan,,Weiblich,Abitur,,,1 750 	 bis unter	2 000 Euro,,GBS
988,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1959,Deutschland,Männlich,Hochschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
989,,,,,nan,,Männlich,Hochschulabschluss,,,2 750	 bis unter 	3 000 Euro,,GBS
990,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),,Ledig,1991,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 250 	 bis unter 	1 500 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
991,,,,,nan,,Weiblich,Hochschulabschluss,,,801	 bis unter 	1 000 Euro,,GBS
992,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1958,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,kein eigenes Einkommen,"mehrere Personen, und zwar:",GBS
993,,,,,nan,,Weiblich,Hochschulabschluss,,,kein eigenes Einkommen,,GBS
994,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1982,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
995,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1957,Deutschland,Männlich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
996,,,,,nan,,Männlich,Abitur,,,500 	 bis unter	800 Euro,,GBS
997,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1989,Deutschland,Weiblich,Abitur,Deutschland,Angabe verweigert,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
998,"Anderer Abschluss, und zwar:","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Ledig,1974,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 500	 bis unter	1 750 Euro,1 500	 bis unter	1 750 Euro,eine Person,GBS
999,,,,,nan,,Weiblich,Hochschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
1000,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1958,Deutschland,Männlich,Realschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
1001,,,,,nan,,Männlich,Realschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
1002,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1983,Deutschland,Weiblich,Abitur,Deutschland,4 000	 bis unter	4 500 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
1003,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1996,Deutschland,Weiblich,Abitur,Deutschland,150 	 bis unter	400 Euro,unter 150 Euro,eine Person,GBS
1004,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1964,Deutschland,Männlich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
1005,,,,,nan,,Männlich,Hochschulabschluss,,,Angabe verweigert,,GBS
1006,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Nicht erwerbstätig,Ledig,1993,Deutschland,Weiblich,Abitur,Deutschland,401 	 bis unter 500 Euro,150 	 bis unter	400 Euro,"mehrere Personen, und zwar:",GBS
1007,,,,,nan,,Weiblich,Abitur,,,150 	 bis unter	400 Euro,,GBS
1008,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
1009,,,,,nan,,Weiblich,Hochschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
1010,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Männlich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
1011,,,,,nan,,Männlich,Abitur,,,1 000 	 bis unter 	1 250 Euro,,GBS
1012,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1973,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,1 750 	 bis unter	2 000 Euro,eine Person,GBS
1013,,,,,nan,,Weiblich,Realschulabschluss,,,1 750 	 bis unter	2 000 Euro,,GBS
0,Fachhochschulabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1946,Deutschland,Männlich,Hochschulabschluss,Deutschland,4000 bis unter 5000 €,2600 bis unter 3200 €,3,GESIS
1,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1951,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,900 bis unter 1100 €,1,GESIS
2,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1984,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,300 bis unter 500 €,1,GESIS
3,"Schüler/-in an berufsorientiertre Aufbau-, Fachschule o. Ä.",Missing by filter,Nicht erwerbstätig,Ledig,1993,Andere,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,Kein eigenes Einkommen,4,GESIS
4,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,4000 bis unter 5000 €,1100 bis unter 1300 €,2,GESIS
5,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1963,Deutschland,Männlich,Abitur,Deutschland,6000 € und mehr,4000 bis unter 5000 €,5 und mehr,GESIS
6,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1975,Deutschland,Männlich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,2300 bis unter 2600 €,2,GESIS
7,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung","Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1985,Deutschland,Männlich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,2000 bis unter 2300 €,3,GESIS
8,Missing by filter,Missing by filter,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Andere,Deutschland,1500 bis unter 1700 €,Kein eigenes Einkommen,4,GESIS
9,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1950,Deutschland,Männlich,Abitur,Deutschland,3200 bis unter 4000 €,1700 bis unter 2000 €,2,GESIS
10,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1990,Deutschland,Männlich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,1700 bis unter 2000 €,2,GESIS
11,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1978,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,2600 bis unter 3200 €,3,GESIS
12,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1962,Deutschland,Männlich,Hochschulabschluss,Deutschland,4000 bis unter 5000 €,4000 bis unter 5000 €,5 und mehr,GESIS
13,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1981,Deutschland,Männlich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,2300 bis unter 2600 €,2,GESIS
14,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1969,Deutschland,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,1100 bis unter 1300 €,3,GESIS
15,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1966,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,1700 bis unter 2000 €,4,GESIS
16,Beruflich-betriebliche Berufsausbildung,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Ledig,1986,Deutschland,Männlich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,1700 bis unter 2000 €,4,GESIS
17,Anderer beruflicher Abschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1943,Deutschland,Weiblich,Realschulabschluss,Deutschland,5000 bis unter 6000 €,900 bis unter 1100 €,2,GESIS
18,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1977,Deutschland,Männlich,Hauptschulabschluss,Andere,2000 bis unter 2300 €,1700 bis unter 2000 €,4,GESIS
19,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1947,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,300 bis unter 500 €,2,GESIS
20,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Geschieden,1956,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,3200 bis unter 4000 €,1,GESIS
21,Item nonresponse,Missing by filter,Nicht erwerbstätig,Verheiratet,1957,Andere,Weiblich,Hauptschulabschluss,Deutschland,1700 bis unter 2000 €,Kein eigenes Einkommen,2,GESIS
22,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1962,Deutschland,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,500 bis unter 700 €,2,GESIS
23,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1958,Deutschland,Männlich,Abitur,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,2,GESIS
24,Universitätsabschluss,Akademiker/-in in freiem Beruf,Vollzeiterwerbstätig,Verheiratet,1957,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,4000 bis unter 5000 €,5 und mehr,GESIS
25,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Männlich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,1700 bis unter 2000 €,3,GESIS
26,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1995,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,Kein eigenes Einkommen,4,GESIS
27,Beruflich-betriebliche Berufsausbildung,Selbstständiger,Teilzeiterwerbstätig,Verheiratet,1960,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,Item nonresponse,4,GESIS
28,Beruflich-schulische Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1968,Deutschland,Weiblich,Realschulabschluss,Deutschland,1100 bis unter 1300 €,1300 bis unter 1500 €,2,GESIS
29,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,Item nonresponse,4,GESIS
30,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Teilzeiterwerbstätig,Ledig,1986,Deutschland,Weiblich,Abitur,Deutschland,2300 bis unter 2600 €,1100 bis unter 1300 €,3,GESIS
31,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1969,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,2600 bis unter 3200 €,3,GESIS
32,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1971,Deutschland,Weiblich,Realschulabschluss,Deutschland,Weiß nicht,500 bis unter 700 €,4,GESIS
